sample_id,fragment_id,time,exposure,tank,genotype,final_disease_state,clone_group,resistance,reads,susceptability
T7_D_D2_U11,D_D2_U11,T7,D,D2,U11,D,clone_7,0.5336919135626396,30246,R
T7_D_D2_U14,D_D2_U14,T7,D,D2,U14,D,clone_3,0.3280738800080762,6102,S
T7_D_D2_U15,D_D2_U15,T7,D,D2,U15,D,clone_16,0.4593249166781684,16336,R
T7_D_D2_U20,D_D2_U20,T7,D,D2,U20,H,clone_19,0.48361904735164635,22926,R
T7_D_D2_U31,D_D2_U31,T7,D,D2,U31,D,clone_20,0.22580210845954632,12462,S
T7_D_D2_U37,D_D2_U37,T7,D,D2,U37,H,clone_26,0.6367881518843654,15532,R
T7_D_D2_U58,D_D2_U58,T7,D,D2,U58,D,clone_34,0.10674234253642308,12290,S
T7_D_D2_U62,D_D2_U62,T7,D,D2,U62,D,clone_7,0.3687617084886779,8097,S
T7_D_D2_U69,D_D2_U69,T7,D,D2,U69,D,clone_41,0.48361904735164635,15571,R
T7_D_D2_U71,D_D2_U71,T7,D,D2,U71,H,clone_42,0.6367881518843654,5438,R
T7_D_D2_U75,D_D2_U75,T7,D,D2,U75,D,clone_44,0.4593249166781684,16180,R
T7_D_D2_U91,D_D2_U91,T7,D,D2,U91,D,clone_45,0.3687617084886779,11153,S
T7_D_D3_U41,D_D3_U41,T7,D,D3,U41,H,clone_26,0.5267368063897103,9486,R
T7_D_D3_U67,D_D3_U67,T7,D,D3,U67,H,clone_40,0.5336919135626396,5865,R
T7_D_D4_K1,D_D4_K1,T7,D,D4,K1,H,clone_3,0.6367881518843654,10619,R
T7_D_D4_KW15,D_D4_KW15,T7,D,D4,KW15,D,clone_5,0.610958320744247,3861,R
T7_D_D4_M1,D_D4_M1,T7,D,D4,M1,D,clone_7,0.03042154565820803,15084,S
T7_D_D4_U100,D_D4_U100,T7,D,D4,U100,D,clone_13,0.3903047418355598,8609,S
T7_D_D4_U20,D_D4_U20,T7,D,D4,U20,H,clone_19,0.48361904735164635,7933,R
T7_D_D4_U3,D_D4_U3,T7,D,D4,U3,D,clone_25,0.508438248490982,79131,R
T7_D_D4_U35,D_D4_U35,T7,D,D4,U35,D,clone_22,0.4356333398942291,7965,S
T7_D_D4_U44,D_D4_U44,T7,D,D4,U44,D,clone_29,0.2732397851191928,1123,S
T7_D_D4_U58,D_D4_U58,T7,D,D4,U58,D,clone_34,0.10674234253642308,19468,S
T7_D_D4_U59,D_D4_U59,T7,D,D4,U59,D,clone_35,0.2115726850946289,4700,S
T7_D_D4_U63,D_D4_U63,T7,D,D4,U63,D,clone_38,0.48361904735164635,8850,R
T7_D_D4_U67,D_D4_U67,T7,D,D4,U67,H,clone_40,0.5336919135626396,6504,R
T7_D_D4_U71,D_D4_U71,T7,D,D4,U71,H,clone_42,0.6367881518843654,13697,R
T7_D_D4_U72,D_D4_U72,T7,D,D4,U72,H,clone_43,0.5850746003769431,10999,R
T7_D_D4_U9,D_D4_U9,T7,D,D4,U9,D,clone_48,0.5850746003769431,20675,R
T7_D_D4_U91,D_D4_U91,T7,D,D4,U91,D,clone_45,0.3687617084886779,10455,S
T7_D_D5_M1,D_D5_M1,T7,D,D5,M1,D,clone_7,0.03042154565820803,30595,S
T7_D_D5_U33,D_D5_U33,T7,D,D5,U33,D,clone_21,0.2732397851191928,10322,S
T7_D_D5_U39,D_D5_U39,T7,D,D5,U39,D,clone_24,0.3280738800080762,23660,S
T7_D_D5_U43,D_D5_U43,T7,D,D5,U43,D,clone_28,0.3386852215489822,9480,S
T7_D_D5_U98,D_D5_U98,T7,D,D5,U98,D,clone_47,0.2906859573324436,22323,S
T7_H_H1_B10,H_H1_B10,T7,H,H1,B10,H,clone_43,0.48361904735164635,5643,R
T7_H_H1_M6,H_H1_M6,T7,H,H1,M6,H,clone_11,0.4126090663756678,6675,S
T7_H_H1_M7,H_H1_M7,T7,H,H1,M7,H,clone_98,0.3903047418355598,5774,S
T7_H_H1_U100,H_H1_U100,T7,H,H1,U100,H,clone_13,0.3903047418355598,18057,S
T7_H_H1_U14,H_H1_U14,T7,H,H1,U14,H,clone_3,0.3280738800080762,21779,S
T7_H_H1_U15,H_H1_U15,T7,H,H1,U15,H,clone_16,0.4593249166781684,21699,R
T7_H_H1_U20,H_H1_U20,T7,H,H1,U20,H,clone_19,0.48361904735164635,17197,R
