sample_id,genotype,clone_group,resistance,time,tank,reads,final_disease_state,exposure,susceptability
T7_D_D2_U58,U58,clone_34,0.10674234253642308,T7,D2,12290,D,D,S
T7_D_D4_U58,U58,clone_34,0.10674234253642308,T7,D4,19468,D,D,S
T7_H_H1_U58,U58,clone_34,0.10674234253642308,T7,H1,14076,H,H,S
T0_F_Field_U59,U59,clone_35,0.2115726850946289,T0,Field,5442,NA,F,S
T3_D_D4_U59,U59,clone_35,0.2115726850946289,T3,D4,21842,D,D,S
T7_D_D4_U59,U59,clone_35,0.2115726850946289,T7,D4,4700,D,D,S
T3_D_D2_U62,U62,clone_7,0.3687617084886779,T3,D2,20360,D,D,S
T3_H_H4_U62,U62,clone_7,0.3687617084886779,T3,H4,4,H,H,S
T7_D_D2_U62,U62,clone_7,0.3687617084886779,T7,D2,8097,D,D,S
T7_H_H4_U62,U62,clone_7,0.3687617084886779,T7,H4,27221,H,H,S
T7_H_H5_U62,U62,clone_7,0.3687617084886779,T7,H5,9824,D,H,S
T3_D_D4_U63,U63,clone_38,0.48361904735164635,T3,D4,12312,D,D,R
T3_H_H1_U63,U63,clone_38,0.48361904735164635,T3,H1,66232,H,H,R
T7_D_D4_U63,U63,clone_38,0.48361904735164635,T7,D4,8850,D,D,R
T7_H_H1_U63,U63,clone_38,0.48361904735164635,T7,H1,12040,H,H,R
T7_H_H5_U63,U63,clone_38,0.48361904735164635,T7,H5,6149,D,H,R
T0_F_Field_U65,U65,clone_39,0.3480109141119393,T0,Field,3822,NA,F,S
T3_D_D1_U65,U65,clone_39,0.3480109141119393,T3,D1,36327,D,D,S
T3_H_H4_U65,U65,clone_39,0.3480109141119393,T3,H4,33494,H,H,S
T7_D_D1_U65,U65,clone_39,0.3480109141119393,T7,D1,7614,D,D,S
T7_H_H4_U65,U65,clone_39,0.3480109141119393,T7,H4,10995,H,H,S
T0_F_Field_U67,U67,clone_40,0.5336919135626396,T0,Field,15541,NA,F,R
T3_D_D4_U67,U67,clone_40,0.5336919135626396,T3,D4,4392,H,D,R
T3_H_H4_U67,U67,clone_40,0.5336919135626396,T3,H4,27386,H,H,R
T7_D_D3_U67,U67,clone_40,0.5336919135626396,T7,D3,5865,H,D,R
T7_D_D4_U67,U67,clone_40,0.5336919135626396,T7,D4,6504,H,D,R
T7_H_H4_U67,U67,clone_40,0.5336919135626396,T7,H4,14481,H,H,R
T3_D_D2_U69,U69,clone_41,0.48361904735164635,T3,D2,31478,D,D,R
T3_H_H1_U69,U69,clone_41,0.48361904735164635,T3,H1,33838,H,H,R
T7_D_D2_U69,U69,clone_41,0.48361904735164635,T7,D2,15571,D,D,R
T7_H_H1_U69,U69,clone_41,0.48361904735164635,T7,H1,2126,H,H,R
T7_H_H4_U69,U69,clone_41,0.48361904735164635,T7,H4,20423,D,H,R
T0_F_Field_U71,U71,clone_42,0.6367881518843654,T0,Field,20498,NA,F,R
T3_D_D2_U71,U71,clone_42,0.6367881518843654,T3,D2,1873,H,D,R
T3_H_H5_U71,U71,clone_42,0.6367881518843654,T3,H5,15452,H,H,R
T7_D_D2_U71,U71,clone_42,0.6367881518843654,T7,D2,5438,H,D,R
T7_D_D4_U71,U71,clone_42,0.6367881518843654,T7,D4,13697,H,D,R
T7_H_H5_U71,U71,clone_42,0.6367881518843654,T7,H5,11143,H,H,R
T0_F_Field_U72,U72,clone_43,0.5850746003769431,T0,Field,8840,NA,F,R
T3_D_D1_U72,U72,clone_43,0.5850746003769431,T3,D1,45330,H,D,R
T3_H_H5_U72,U72,clone_43,0.5850746003769431,T3,H5,52547,H,H,R
T7_D_D1_U72,U72,clone_43,0.5850746003769431,T7,D1,10682,H,D,R
T7_D_D4_U72,U72,clone_43,0.5850746003769431,T7,D4,10999,H,D,R
T7_H_H5_U72,U72,clone_43,0.5850746003769431,T7,H5,15541,H,H,R
T3_D_D2_U75,U75,clone_44,0.4593249166781684,T3,D2,33562,D,D,R
T3_H_H5_U75,U75,clone_44,0.4593249166781684,T3,H5,64422,H,H,R
T7_D_D2_U75,U75,clone_44,0.4593249166781684,T7,D2,16180,D,D,R
T7_H_H5_U75,U75,clone_44,0.4593249166781684,T7,H5,11432,H,H,R
T7_H_H5_U8,U8,NA,0.19810154955141748,T7,H5,8211,D,H,S
T3_D_D4_U9,U9,clone_48,0.5850746003769431,T3,D4,47487,D,D,R
T3_H_H1_U9,U9,clone_48,0.5850746003769431,T3,H1,32447,H,H,R
