asv_id,sample_id,log2_cpm,exposure
ASV_27,T0_D_HOMO_4,10.566794225858938,D
ASV_27,T0_D_HOMO_5,10.822340225032377,D
ASV_27,T0_H_HOMO_1,5.2741049642317686,H
ASV_27,T0_H_HOMO_2,5.274104964231766,H
ASV_27,T0_H_HOMO_3,5.2741049642317686,H
ASV_27,T0_H_HOMO_4,5.2741049642317686,H
ASV_27,T0_H_HOMO_5,5.2741049642317686,H
ASV_29,T0_D_HOMO_1,5.274104964231766,D
ASV_29,T0_D_HOMO_2,5.2741049642317686,D
ASV_29,T0_D_HOMO_3,5.274104964231766,D
ASV_29,T0_D_HOMO_4,5.2741049642317686,D
ASV_29,T0_D_HOMO_5,5.2741049642317686,D
ASV_29,T0_H_HOMO_1,5.2741049642317686,H
ASV_29,T0_H_HOMO_2,5.274104964231766,H
ASV_29,T0_H_HOMO_3,5.2741049642317686,H
ASV_29,T0_H_HOMO_4,5.2741049642317686,H
ASV_29,T0_H_HOMO_5,10.490016104962399,H
ASV_30,T0_D_HOMO_1,5.274104964231766,D
ASV_30,T0_D_HOMO_2,5.2741049642317686,D
ASV_30,T0_D_HOMO_3,5.274104964231766,D
ASV_30,T0_D_HOMO_4,5.2741049642317686,D
ASV_30,T0_D_HOMO_5,5.2741049642317686,D
ASV_30,T0_H_HOMO_1,5.2741049642317686,H
ASV_30,T0_H_HOMO_2,5.274104964231766,H
ASV_30,T0_H_HOMO_3,6.619982672719922,H
ASV_30,T0_H_HOMO_4,5.2741049642317686,H
ASV_30,T0_H_HOMO_5,10.490016104962399,H
ASV_31,T0_D_HOMO_1,5.274104964231766,D
ASV_31,T0_D_HOMO_2,7.405640071026286,D
ASV_31,T0_D_HOMO_3,5.274104964231766,D
ASV_31,T0_D_HOMO_4,5.2741049642317686,D
ASV_31,T0_D_HOMO_5,9.640481188604285,D
ASV_31,T0_H_HOMO_1,5.2741049642317686,H
ASV_31,T0_H_HOMO_2,5.274104964231766,H
ASV_31,T0_H_HOMO_3,5.2741049642317686,H
ASV_31,T0_H_HOMO_4,5.2741049642317686,H
ASV_31,T0_H_HOMO_5,12.269374258001474,H
ASV_33,T0_D_HOMO_1,5.274104964231766,D
ASV_33,T0_D_HOMO_2,5.2741049642317686,D
ASV_33,T0_D_HOMO_3,7.576605417311576,D
ASV_33,T0_D_HOMO_4,5.2741049642317686,D
ASV_33,T0_D_HOMO_5,5.2741049642317686,D
ASV_33,T0_H_HOMO_1,5.2741049642317686,H
ASV_33,T0_H_HOMO_2,5.274104964231766,H
ASV_33,T0_H_HOMO_3,5.2741049642317686,H
ASV_33,T0_H_HOMO_4,5.2741049642317686,H
ASV_33,T0_H_HOMO_5,5.2741049642317686,H
ASV_34,T0_D_HOMO_1,5.274104964231766,D
ASV_34,T0_D_HOMO_2,5.2741049642317686,D
ASV_34,T0_D_HOMO_3,5.274104964231766,D
ASV_34,T0_D_HOMO_4,5.2741049642317686,D
ASV_34,T0_D_HOMO_5,5.2741049642317686,D
ASV_34,T0_H_HOMO_1,5.2741049642317686,H
ASV_34,T0_H_HOMO_2,5.274104964231766,H
ASV_34,T0_H_HOMO_3,5.2741049642317686,H
ASV_34,T0_H_HOMO_4,5.2741049642317686,H
ASV_34,T0_H_HOMO_5,5.2741049642317686,H
ASV_35,T0_D_HOMO_1,5.274104964231766,D
ASV_35,T0_D_HOMO_2,8.230843700796814,D
ASV_35,T0_D_HOMO_3,7.576605417311576,D
ASV_35,T0_D_HOMO_4,5.2741049642317686,D
ASV_35,T0_D_HOMO_5,5.2741049642317686,D
ASV_35,T0_H_HOMO_1,10.640778887407654,H
ASV_35,T0_H_HOMO_2,9.482798050435594,H
ASV_35,T0_H_HOMO_3,9.866724567318705,H
ASV_35,T0_H_HOMO_4,10.162849929594099,H
ASV_35,T0_H_HOMO_5,5.2741049642317686,H
ASV_36,T0_D_HOMO_1,5.274104964231766,D
ASV_36,T0_D_HOMO_2,5.2741049642317686,D
ASV_36,T0_D_HOMO_3,5.274104964231766,D
ASV_36,T0_D_HOMO_4,5.2741049642317686,D
ASV_36,T0_D_HOMO_5,5.2741049642317686,D
ASV_36,T0_H_HOMO_1,11.238724496142648,H
ASV_36,T0_H_HOMO_2,9.82792429049978,H
ASV_36,T0_H_HOMO_3,10.334965409981479,H
ASV_36,T0_H_HOMO_4,10.030208056029721,H
ASV_36,T0_H_HOMO_5,13.776578394651569,H
ASV_37,T0_D_HOMO_1,10.47356551119601,D
ASV_37,T0_D_HOMO_2,11.444401243670772,D
ASV_37,T0_D_HOMO_3,11.789201828685334,D
ASV_37,T0_D_HOMO_4,11.866468076221276,D
ASV_37,T0_D_HOMO_5,9.090074631596664,D
ASV_37,T0_H_HOMO_1,10.81504458643353,H
ASV_37,T0_H_HOMO_2,5.274104964231766,H
ASV_37,T0_H_HOMO_3,5.2741049642317686,H
