sample_id,time,exposure,tank,genotype,final_disease_state,disease_state,asv_names,value,fragment_id,D,H,T3,T7,Class,Order,Family,Genus,Species
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_233,8.088282050874183,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_234,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_236,10.591084961628837,homogenate,TRUE,FALSE,TRUE,TRUE,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_239,9.933572533194607,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_240,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Campylobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_241,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Aestuariibacter,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_242,10.717406846223342,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Thalassotalea,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_250,11.528484949664039,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Pseudomonadales,P13-46,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_252,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_253,7.0334385023228565,homogenate,TRUE,FALSE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Vibrionaceae,NA,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_263,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_264,12.30815681815069,homogenate,TRUE,TRUE,TRUE,TRUE,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,NA
T0_D_HOMO_1,T0,D,HOMO,1,D,NA,ASV_265,7.0334385023228565,homogenate,TRUE,TRUE,TRUE,TRUE,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA
